Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Group Activated,Instructions
Dumbbell Bench Press,Cardio,Treadmill,Full Body,Hold,"Shoulders, Core, Rhomboids",Maintain a neutral spine and avoid locking your joints.
Medicine Ball Slam,Stretch,Treadmill,Upper Body,Pull,"Core, Back, Rhomboids, Triceps",Keep your core engaged and back straight throughout the movement.
Resistance Band Chest Fly,Mobility,Kettlebells,Full Body,Stretch,"Rhomboids, Calves",Warm up before starting and cool down with stretching afterward.
Dumbbell Bench Press,Stretch,Medicine Ball,Upper Body,Hold,"Core, Traps, Lats, Triceps, Shoulders",Start in a stable position and perform the movement slowly to maintain form.
Elliptical Trainer,Warm-up,Dumbbells,Upper Body,Stretch,"Quads, Lats, Calves, Chest","Ensure smooth and controlled motion, avoiding any jerky movements."
Lunge,Stretch,None,Core,Pull,"Chest, Calves, Shoulders",Start in a stable position and perform the movement slowly to maintain form.
Box Jump,Warm-up,Treadmill,Core,Hold,"Core, Lats, Back",Start in a stable position and perform the movement slowly to maintain form.
Box Jump,Warm-up,Dumbbells,Core,Stretch,"Triceps, Core, Hamstrings, Lats",Use a weight that allows you to complete the set with good form.
Resistance Band Chest Fly,Cardio,Medicine Ball,Full Body,Hold,"Calves, Back, Hamstrings, Chest",Use a weight that allows you to complete the set with good form.
Dumbbell Shoulder Press,Stretch,Resistance Band,Full Body,Stretch,"Lats, Quads","Ensure smooth and controlled motion, avoiding any jerky movements."
Russian Twist,Mobility,None,Full Body,Pull,"Traps, Biceps, Quads, Lower Back",Make sure your knees don’t extend past your toes during the movement.
Treadmill Run,Warm-up,Medicine Ball,Upper Body,Pull,"Back, Calves, Biceps, Traps",Use a weight that allows you to complete the set with good form.
Barbell Deadlift,Mobility,Barbell,Full Body,Pull,"Lower Back, Quads","Focus on controlled breathing: inhale on effort, exhale on return."
Barbell Squat,Mobility,Resistance Band,Full Body,Hold,"Lower Back, Hamstrings, Chest","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Battle Ropes,Stretch,Medicine Ball,Lower Body,Stretch,"Lower Back, Calves",Maintain a neutral spine and avoid locking your joints.
Kettlebell Swing,Stretch,Medicine Ball,Lower Body,Stretch,"Triceps, Glutes, Chest, Hamstrings, Calves",Use a weight that allows you to complete the set with good form.
Kettlebell Swing,Stretch,Treadmill,Full Body,Stretch,"Rhomboids, Lower Back, Traps, Biceps, Glutes",Make sure your knees don’t extend past your toes during the movement.
Resistance Band Chest Fly,Strength,Resistance Band,Core,Pull,"Shoulders, Lower Back, Traps",Maintain a neutral spine and avoid locking your joints.
Kettlebell Swing,Stretch,Dumbbells,Full Body,Push,"Lower Back, Calves, Hamstrings, Shoulders, Core",Do not rush the repetitions; focus on muscle engagement.
Toe Touch Stretch,Stretch,Kettlebells,Core,Hold,"Back, Shoulders, Traps, Rhomboids, Glutes","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Treadmill Run,Cardio,Resistance Band,Upper Body,Push,"Quads, Lower Back, Triceps, Biceps, Hamstrings",Keep your core engaged and back straight throughout the movement.
Pull-up,Cardio,Dumbbells,Upper Body,Pull,"Core, Chest",Keep your core engaged and back straight throughout the movement.
Toe Touch Stretch,Cardio,Barbell,Lower Body,Hold,"Glutes, Lower Back, Lats, Chest","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Mountain Climbers,Mobility,None,Full Body,Stretch,"Glutes, Core, Hamstrings, Triceps",Make sure your knees don’t extend past your toes during the movement.
Pull-up,Stretch,Medicine Ball,Full Body,Pull,"Core, Rhomboids, Traps, Calves, Glutes",Use a weight that allows you to complete the set with good form.
Resistance Band Row,Cardio,Cable Machine,Lower Body,Pull,"Lats, Back, Rhomboids, Quads, Lower Back",Make sure your knees don’t extend past your toes during the movement.
Barbell Deadlift,Warm-up,Cable Machine,Core,Hold,"Traps, Chest, Quads, Rhomboids, Hamstrings",Do not rush the repetitions; focus on muscle engagement.
Jump Rope,Stretch,Treadmill,Upper Body,Hold,"Chest, Triceps, Glutes",Keep your core engaged and back straight throughout the movement.
Wall Sit,Strength,Dumbbells,Core,Push,"Lats, Traps, Quads","Ensure smooth and controlled motion, avoiding any jerky movements."
Box Jump,Warm-up,Barbell,Full Body,Stretch,"Shoulders, Calves, Quads",Keep your core engaged and back straight throughout the movement.
Jump Rope,Strength,None,Upper Body,Hold,"Chest, Lats",Start in a stable position and perform the movement slowly to maintain form.
Resistance Band Row,Warm-up,None,Core,Push,"Lower Back, Back, Glutes, Quads",Start in a stable position and perform the movement slowly to maintain form.
Wall Sit,Mobility,Dumbbells,Full Body,Pull,"Rhomboids, Calves, Quads, Shoulders",Do not rush the repetitions; focus on muscle engagement.
Cable Crossover,Stretch,Dumbbells,Full Body,Pull,"Lats, Triceps",Keep your core engaged and back straight throughout the movement.
Jump Rope,Warm-up,Cable Machine,Upper Body,Pull,"Core, Back, Rhomboids, Quads, Lats",Maintain a neutral spine and avoid locking your joints.
Dumbbell Shoulder Press,Mobility,Treadmill,Full Body,Push,"Core, Lats, Triceps, Chest",Do not rush the repetitions; focus on muscle engagement.
Dumbbell Shoulder Press,Cardio,None,Core,Push,"Back, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Resistance Band Chest Fly,Stretch,Treadmill,Core,Stretch,"Lats, Shoulders",Keep your core engaged and back straight throughout the movement.
Elliptical Trainer,Mobility,Cable Machine,Core,Stretch,"Chest, Biceps, Glutes, Back, Calves","Focus on controlled breathing: inhale on effort, exhale on return."
Box Jump,Warm-up,Barbell,Core,Hold,"Hamstrings, Lats, Back, Rhomboids, Biceps","Ensure smooth and controlled motion, avoiding any jerky movements."
Box Jump,Warm-up,None,Core,Push,"Chest, Hamstrings, Triceps, Rhomboids",Keep your core engaged and back straight throughout the movement.
Push-up,Mobility,Treadmill,Lower Body,Hold,"Traps, Chest",Start in a stable position and perform the movement slowly to maintain form.
Wall Sit,Cardio,Treadmill,Lower Body,Pull,"Core, Back, Hamstrings",Maintain a neutral spine and avoid locking your joints.
Cable Crossover,Cardio,Kettlebells,Upper Body,Stretch,"Glutes, Traps","Ensure smooth and controlled motion, avoiding any jerky movements."
Battle Ropes,Stretch,Treadmill,Upper Body,Stretch,"Rhomboids, Chest, Quads, Biceps, Lower Back","Focus on controlled breathing: inhale on effort, exhale on return."
Jump Rope,Strength,Resistance Band,Lower Body,Push,"Hamstrings, Glutes","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Battle Ropes,Mobility,Medicine Ball,Full Body,Push,"Back, Calves, Quads, Shoulders, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Toe Touch Stretch,Strength,Medicine Ball,Full Body,Pull,"Calves, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Lunge,Warm-up,Barbell,Lower Body,Hold,"Chest, Traps, Shoulders",Make sure your knees don’t extend past your toes during the movement.
Barbell Squat,Cardio,Kettlebells,Upper Body,Stretch,"Core, Triceps, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Push-up,Warm-up,Resistance Band,Core,Hold,"Chest, Rhomboids, Biceps, Hamstrings, Triceps",Do not rush the repetitions; focus on muscle engagement.
Mountain Climbers,Stretch,Cable Machine,Lower Body,Hold,"Glutes, Traps","Focus on controlled breathing: inhale on effort, exhale on return."
Barbell Squat,Cardio,Kettlebells,Upper Body,Push,"Lats, Biceps",Make sure your knees don’t extend past your toes during the movement.
Cable Crossover,Stretch,Resistance Band,Lower Body,Pull,"Calves, Biceps","Ensure smooth and controlled motion, avoiding any jerky movements."
Kettlebell Swing,Strength,Dumbbells,Core,Push,"Quads, Chest, Traps",Use a weight that allows you to complete the set with good form.
Toe Touch Stretch,Warm-up,Dumbbells,Upper Body,Pull,"Hamstrings, Back","Ensure smooth and controlled motion, avoiding any jerky movements."
Battle Ropes,Mobility,Barbell,Core,Hold,"Lats, Biceps, Chest, Back, Calves","Focus on controlled breathing: inhale on effort, exhale on return."
Mountain Climbers,Stretch,Medicine Ball,Core,Hold,"Traps, Rhomboids, Core, Back","Ensure smooth and controlled motion, avoiding any jerky movements."
Dumbbell Shoulder Press,Cardio,Treadmill,Core,Hold,"Lower Back, Shoulders, Back, Calves",Keep your core engaged and back straight throughout the movement.
Dumbbell Bench Press,Stretch,Dumbbells,Core,Stretch,"Hamstrings, Biceps, Rhomboids",Warm up before starting and cool down with stretching afterward.
Dumbbell Bench Press,Strength,Treadmill,Lower Body,Push,"Shoulders, Rhomboids, Calves","Focus on controlled breathing: inhale on effort, exhale on return."
Pull-up,Stretch,Dumbbells,Lower Body,Stretch,"Traps, Back","Focus on controlled breathing: inhale on effort, exhale on return."
Treadmill Run,Warm-up,Cable Machine,Core,Stretch,"Traps, Lower Back, Quads, Lats, Biceps","Focus on controlled breathing: inhale on effort, exhale on return."
Russian Twist,Warm-up,Barbell,Lower Body,Stretch,"Quads, Chest, Lower Back","Focus on controlled breathing: inhale on effort, exhale on return."
Mountain Climbers,Mobility,Barbell,Core,Push,"Core, Lats","Focus on controlled breathing: inhale on effort, exhale on return."
Cable Crossover,Mobility,Medicine Ball,Full Body,Pull,"Biceps, Traps, Hamstrings",Maintain a neutral spine and avoid locking your joints.
Plank,Cardio,Medicine Ball,Full Body,Pull,"Shoulders, Hamstrings",Warm up before starting and cool down with stretching afterward.
Push-up,Strength,Resistance Band,Core,Pull,"Shoulders, Core, Biceps, Back",Keep your core engaged and back straight throughout the movement.
Resistance Band Chest Fly,Stretch,Treadmill,Lower Body,Push,"Rhomboids, Glutes, Hamstrings, Chest, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Push-up,Cardio,Cable Machine,Lower Body,Pull,"Chest, Shoulders, Biceps",Make sure your knees don’t extend past your toes during the movement.
Treadmill Run,Strength,Kettlebells,Lower Body,Push,"Lower Back, Quads, Biceps, Hamstrings, Triceps",Do not rush the repetitions; focus on muscle engagement.
Resistance Band Chest Fly,Stretch,Resistance Band,Upper Body,Pull,"Core, Calves, Lower Back",Warm up before starting and cool down with stretching afterward.
Jump Rope,Strength,Dumbbells,Core,Stretch,"Lower Back, Hamstrings","Ensure smooth and controlled motion, avoiding any jerky movements."
Resistance Band Row,Warm-up,None,Upper Body,Pull,"Rhomboids, Biceps",Do not rush the repetitions; focus on muscle engagement.
Plank,Strength,Medicine Ball,Core,Hold,"Quads, Lats, Rhomboids, Traps","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Medicine Ball Slam,Cardio,None,Lower Body,Stretch,"Traps, Core, Calves, Triceps",Maintain a neutral spine and avoid locking your joints.
Barbell Deadlift,Stretch,Cable Machine,Full Body,Stretch,"Glutes, Lats, Calves",Make sure your knees don’t extend past your toes during the movement.
Pull-up,Mobility,None,Full Body,Stretch,"Core, Back",Do not rush the repetitions; focus on muscle engagement.
Resistance Band Chest Fly,Warm-up,Barbell,Upper Body,Hold,"Traps, Core","Focus on controlled breathing: inhale on effort, exhale on return."
Jump Rope,Stretch,Cable Machine,Upper Body,Stretch,"Biceps, Shoulders, Traps, Triceps, Back",Maintain a neutral spine and avoid locking your joints.
Battle Ropes,Stretch,Cable Machine,Core,Pull,"Calves, Lats, Glutes, Lower Back","Ensure smooth and controlled motion, avoiding any jerky movements."
Jump Rope,Cardio,Barbell,Full Body,Pull,"Core, Biceps, Glutes",Start in a stable position and perform the movement slowly to maintain form.
Barbell Squat,Strength,Barbell,Core,Push,"Chest, Rhomboids",Use a weight that allows you to complete the set with good form.
Toe Touch Stretch,Warm-up,Resistance Band,Full Body,Stretch,"Quads, Shoulders, Triceps, Rhomboids, Chest",Warm up before starting and cool down with stretching afterward.
Box Jump,Mobility,Barbell,Upper Body,Push,"Calves, Glutes, Rhomboids, Lower Back",Start in a stable position and perform the movement slowly to maintain form.
Cable Crossover,Stretch,Kettlebells,Lower Body,Pull,"Shoulders, Biceps, Chest, Rhomboids",Use a weight that allows you to complete the set with good form.
Pull-up,Strength,Resistance Band,Upper Body,Hold,"Lower Back, Biceps","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Elliptical Trainer,Mobility,Kettlebells,Upper Body,Stretch,"Hamstrings, Quads, Chest, Rhomboids, Core",Start in a stable position and perform the movement slowly to maintain form.
Plank,Warm-up,Barbell,Upper Body,Pull,"Chest, Core, Glutes, Lower Back, Biceps",Start in a stable position and perform the movement slowly to maintain form.
Lat Pulldown,Strength,Treadmill,Full Body,Push,"Traps, Lats, Core, Biceps",Do not rush the repetitions; focus on muscle engagement.
Jump Rope,Mobility,None,Core,Push,"Chest, Triceps, Lower Back, Back","Ensure smooth and controlled motion, avoiding any jerky movements."
Toe Touch Stretch,Cardio,None,Core,Pull,"Quads, Shoulders","Focus on controlled breathing: inhale on effort, exhale on return."
Pull-up,Strength,None,Lower Body,Hold,"Traps, Triceps, Quads",Use a weight that allows you to complete the set with good form.
Kettlebell Swing,Strength,Dumbbells,Upper Body,Pull,"Back, Lats, Core, Lower Back",Do not rush the repetitions; focus on muscle engagement.
Toe Touch Stretch,Stretch,Cable Machine,Full Body,Hold,"Chest, Lats, Shoulders, Back","Focus on controlled breathing: inhale on effort, exhale on return."
Resistance Band Chest Fly,Cardio,Medicine Ball,Lower Body,Pull,"Triceps, Glutes, Chest",Start in a stable position and perform the movement slowly to maintain form.
Battle Ropes,Warm-up,Treadmill,Full Body,Pull,"Rhomboids, Core, Back",Maintain a neutral spine and avoid locking your joints.
Seated Hamstring Stretch,Cardio,Medicine Ball,Core,Pull,"Quads, Lats",Warm up before starting and cool down with stretching afterward.
Resistance Band Chest Fly,Strength,Treadmill,Full Body,Hold,"Glutes, Core, Lower Back, Hamstrings, Chest",Keep your core engaged and back straight throughout the movement.
Barbell Deadlift,Warm-up,Treadmill,Full Body,Pull,"Biceps, Lower Back, Hamstrings, Calves, Lats",Start in a stable position and perform the movement slowly to maintain form.
Toe Touch Stretch,Stretch,Kettlebells,Core,Push,"Back, Lats, Shoulders, Lower Back, Chest","Focus on controlled breathing: inhale on effort, exhale on return."
Treadmill Run,Mobility,Kettlebells,Core,Push,"Shoulders, Calves, Lats","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
